< 8 , _ > 1
< 0 , 0 > 1
< 34 , _ > 1
< 8 , _ > 1
< 0 , 1 > 1
< 41 , _ > 1
< 8 , _ > 1
< 0 , 2 > 1
< 35 , _ > 1
< 36 , _ > 1
< 8 , _ > 2
< 0 , 3 > 2
< 34 , _ > 2
< 8 , _ > 2
< 0 , 1 > 2
< 35 , _ > 2
< 36 , _ > 2
< 0 , 1 > 3
< 22 , _ > 3
< 0 , 1 > 3
< 18 , _ > 3
< 1 , 1 > 3
< 38 , _ > 3
< 45 , _ > 4
< 0 , 1 > 4
< 38 , _ > 4
< 37 , _ > 5
< 10 , _ > 6
< 0 , 4 > 6
< 22 , _ > 6
< 0 , 1 > 6
< 18 , _ > 6
< 0 , 2 > 6
< 38 , _ > 6
< 45 , _ > 7
< 0 , 4 > 7
< 38 , _ > 7
< 37 , _ > 8
< 8 , _ > 10
< 0 , 1 > 10
< 22 , _ > 10
< 1 , 1 > 10
< 38 , _ > 10
< 8 , _ > 11
< 0 , 1 > 11
< 22 , _ > 11
< 1 , 1 > 11
< 38 , _ > 11
< 8 , _ > 12
< 0 , 2 > 12
< 22 , _ > 12
< 1 , 1 > 12
< 38 , _ > 12
< 8 , _ > 13
< 0 , 4 > 13
< 22 , _ > 13
< 1 , 1 > 13
< 38 , _ > 13
< 8 , _ > 14
< 0 , 5 > 14
< 22 , _ > 14
< 1 , 1 > 14
< 38 , _ > 14
< 8 , _ > 15
< 0 , 6 > 15
< 22 , _ > 15
< 1 , 1 > 15
< 38 , _ > 15
< 8 , _ > 16
< 0 , 7 > 16
< 22 , _ > 16
< 1 , 1 > 16
< 38 , _ > 16
< 8 , _ > 17
< 0 , 8 > 17
< 22 , _ > 17
< 1 , 1 > 17
< 38 , _ > 17
< 10 , _ > 18
< 0 , 9 > 18
< 22 , _ > 18
< 0 , 1 > 18
< 38 , _ > 18
< 8 , _ > 19
< 0 , 10 > 19
< 22 , _ > 19
< 0 , 9 > 19
< 38 , _ > 19
< 0 , 8 > 20
< 22 , _ > 20
< 0 , 1 > 20
< 20 , _ > 20
< 34 , _ > 20
< 19 , _ > 20
< 0 , 4 > 20
< 18 , _ > 20
< 0 , 2 > 20
< 35 , _ > 20
< 38 , _ > 20
< 0 , 11 > 21
< 22 , _ > 21
< 0 , 1 > 21
< 38 , _ > 21
< 0 , 0 > 22
< 22 , _ > 22
< 1 , 0 > 22
< 38 , _ > 22
< 12 , _ > 23
< 34 , _ > 23
< 0 , 1 > 23
< 30 , _ > 23
< 0 , 2 > 23
< 35 , _ > 23
< 36 , _ > 23
< 6 , _ > 24
< 34 , _ > 24
< 0 , 4 > 24
< 30 , _ > 24
< 0 , 5 > 24
< 35 , _ > 24
< 36 , _ > 24
< 0 , 6 > 25
< 22 , _ > 25
< 0 , 7 > 25
< 18 , _ > 25
< 0 , 8 > 25
< 38 , _ > 25
< 37 , _ > 26
< 7 , _ > 26
< 36 , _ > 26
< 0 , 6 > 27
< 22 , _ > 27
< 0 , 7 > 27
< 20 , _ > 27
< 0 , 8 > 27
< 38 , _ > 27
< 37 , _ > 28
< 37 , _ > 29
< 6 , _ > 30
< 34 , _ > 30
< 0 , 1 > 30
< 31 , _ > 30
< 0 , 5 > 30
< 35 , _ > 30
< 36 , _ > 30
< 0 , 1 > 31
< 22 , _ > 31
< 0 , 1 > 31
< 18 , _ > 31
< 1 , 1 > 31
< 38 , _ > 31
< 37 , _ > 32
< 12 , _ > 33
< 34 , _ > 33
< 0 , 4 > 33
< 30 , _ > 33
< 0 , 2 > 33
< 27 , _ > 33
< 0 , 6 > 33
< 31 , _ > 33
< 0 , 7 > 33
< 35 , _ > 33
< 36 , _ > 33
< 0 , 2 > 34
< 22 , _ > 34
< 0 , 4 > 34
< 18 , _ > 34
< 1 , 1 > 34
< 38 , _ > 34
< 37 , _ > 35
